"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","659","C","","","0"
"2001","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","676","C","","","0"
"2002","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","718","C","","","0"
"2003","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","723","C","","","0"
"2004","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","743","C","","","0"
"2005","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","745","C","","","0"
"2006","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","917","A","","","0"
"2007","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","924","A","","","0"
"2008","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","981","A","","","0"
"2009","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","977","A","","","0"
"2010","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","998","A","","","0"
"2011","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1006","A","","","0"
"2012","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1063","A","","","0"
"2013","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1091","A","","","0"
"2014","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1096","A","","","0"
"2015","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1116","A","","","0"
"2016","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1116","A","","","0"
"2017","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1140","A","","","0"
"2018","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1167","A","","","0"
"2019","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1196","B","","","0"
"2020","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1216","A","","","0"
"2021","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1268","A","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","1248","A","","","0"
"1981","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","21496","","","","0"
"1982","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","23799","","","","0"
"1983","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","20583","","","","0"
"1984","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","20833","","","","0"
"1985","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","24640","","","","0"
"1986","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","25039","","","","0"
"1987","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","24324","","","","0"
"1988","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","25881","","","","0"
"1989","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","26528","","","","0"
"1990","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","26954","","","","0"
"1991","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","27123","","","","0"
"1992","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","26545","","","","0"
"1993","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","24655","C","","","0"
"1994","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","27051","B","","","0"
"1995","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","28290","C","","","0"
"1996","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","29352","C","","","0"
"1997","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","32901","C","","","0"
"1998","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","36122","C","","","0"
"1999","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","32175","C","","","0"
"2000","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","36850","C","","","0"
"2001","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","38007","C","","","0"
"2002","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","38818","C","","","0"
"2003","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","39680","C","","","0"
"2004","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","42837","C","","","0"
"2005","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","43474","C","","","0"
"2006","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","55423","B","","","0"
"2007","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","60663","B","","","0"
"2008","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","62406","B","","","0"
"2009","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","63565","B","","","0"
"2010","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","65604","C","","","0"
"2011","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","69460","B","","","0"
"2012","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","77802","C","","","0"
"2013","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","76608","B","","","0"
"2014","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","85774","C","","","0"
"2015","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","80226","B","","","0"
"2016","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","71448","B","","","0"
"2017","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","74686","B","","","0"
"2018","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","77204","B","","","0"
"2019","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","79692","C","","","0"
"2020","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","78525","B","","","0"
"2021","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","83112","B","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Aggregate income","2022 constant dollars","439","millions","6","v107693256","19.1.1.1.3","83446","B","","","0"
